Comment,Designator,Footprint,LCSC
1u,"C1205,C1303,C1304",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C59302
470n,"C1201,C1301,C1302,C1411,C1511,C1602,C1604,C1701,C1702,C1801,C1802,C1902,C1904,C2001,C2002,C202,C203,C204,C208,C2101,C2102,C2501,C2502,C2509,C2510,C2601,C2603,C2902,C2903,C2904,C2906,C2907,C2908,C601,C606,C801,C802,C803,C804",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C651004
TL072,"U1201,U1301,U1601,U1701,U1801,U1901,U2001,U203,U2101,U2201,U2401,U302,U402,U502",SOIC-8_3.9x4.9mm_P1.27mm,C67473
TL074,"U1202,U2501,U2601,U601,U602,U801,U802",SOIC-14_3.9x8.7mm_P1.27mm,C6963
MCP6004,U2301,SOIC-14_3.9x8.7mm_P1.27mm,C7378
4.7u,"C1401,C1501,C2602",CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,C781889
J201,"Q2901,Q2903",SOT-23_Handsoldering,C891687
10p,"C1601,C1901,C2301,C2302,C2303,C2308,C301,C302,C303,C304,C401,C402,C403,C404,C501,C502,C503,C504,C902,C904,C905,C906",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C91367
10K,"R1203,R1210,R1211,R1212,R1213,R1222,R1403,R1404,R1405,R1406,R1503,R1504,R1505,R1506,R1703,R1704,R1803,R1804,R2003,R2004,R205,R2103,R2104,R219,R2209,R2210,R2413,R2414,R2415,R2416,R2608,R2703,R2801,R2802,R2803,R2804,R615,R616,R617,R618,R620,R705,R904,R912",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C98220
22u,"C2802,C2805,C2809",CP_Elec_4x5.4,C98746
SSI2164,U603,SOIC-16_3.9x9.9mm_P1.27mm,
StompLFO,U2202,DIP-8_W7.62mm,
10n,C2202,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
In1,H501,MountingHole_4.3mm_M4_Pad_TopBottom,
Out1,H2905,MountingHole_4.3mm_M4_Pad_TopBottom,
B100K,RV2301,V2_TRIM_R0904NB10KL-25KQ-,
LED_Yellow,D408,LED_D3.0mm,
Gen1_Sleeve,H2903,MountingHole_4.3mm_M4_Pad_TopBottom,
In1,H1701,MountingHole_4.3mm_M4_Pad_TopBottom,
LBP_Out,H803,MountingHole_4.3mm_M4_Pad_TopBottom,
VCA1_In,H1001,MountingHole_4.3mm_M4_Pad_TopBottom,
VCA1_Out,H1105,MountingHole_4.3mm_M4_Pad_TopBottom,
LED_Orange,D2402,LED_D3.0mm,
B100K,RV804,V2_TRIM_R0904NB10KL-25KQ-,
LED_Green,D305,LED_D3.0mm,
LED_Green,D406,LED_D3.0mm,
B100K,RV301,V2_TRIM_R0904NB10KL-25KQ-,
Crossfader_Out,H1902,MountingHole_4.3mm_M4_Pad_TopBottom,
B100K,RV401,V2_TRIM_R0904NB10KL-25KQ-,
Delay2_Out,H1306,MountingHole_4.3mm_M4_Pad_TopBottom,
LFO_Out,H2201,MountingHole_4.3mm_M4_Pad_TopBottom,
SW_DIP_x02,SW2701,SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm,
Switch1_AorB,H2407,MountingHole_4.3mm_M4_Pad_TopBottom,
A100K,RV1602,V2_TRIM_R0904NB10KL-25KQ-,
In1,H2001,MountingHole_4.3mm_M4_Pad_TopBottom,
Out2,H504,MountingHole_4.3mm_M4_Pad_TopBottom,
B100K,RV803,V2_TRIM_R0904NB10KL-25KQ-,
B100K,RV504,V2_TRIM_R0904NB10KL-25KQ-,
VCA2_In,H1103,MountingHole_4.3mm_M4_Pad_TopBottom,
LED_Yellow,D508,LED_D3.0mm,
Envelope_Out,H1203,MountingHole_4.3mm_M4_Pad_TopBottom,
Switch2_A,H2404,MountingHole_4.3mm_M4_Pad_TopBottom,
VCA1_CV_In,H1002,MountingHole_4.3mm_M4_Pad_TopBottom,
LED_Yellow,D308,LED_D3.0mm,
B100K,RV801,V2_TRIM_R0904NB10KL-25KQ-,
B100K,RV1603,V2_TRIM_R0904NB10KL-25KQ-,
Out2,H304,MountingHole_4.3mm_M4_Pad_TopBottom,
VCA1_In,H1101,MountingHole_4.3mm_M4_Pad_TopBottom,
In2,H1702,MountingHole_4.3mm_M4_Pad_TopBottom,
Lower_Limit_CV,H2603,MountingHole_4.3mm_M4_Pad_TopBottom,
Switch1_Trig,H2401,MountingHole_4.3mm_M4_Pad_TopBottom,
B100K,RV304,V2_TRIM_R0904NB10KL-25KQ-,
Upper_Limit_CV,H2602,MountingHole_4.3mm_M4_Pad_TopBottom,
Top_Left,H103,MountingHole_3.2mm_M3_Pad_TopBottom,
LED_Green,D505,LED_D3.0mm,
In,H1201,MountingHole_4.3mm_M4_Pad_TopBottom,
In,H2601,MountingHole_4.3mm_M4_Pad_TopBottom,
B100K,RV302,V2_TRIM_R0904NB10KL-25KQ-,
Rectified_Out,H1202,MountingHole_4.3mm_M4_Pad_TopBottom,
Switch2_D,H2412,MountingHole_4.3mm_M4_Pad_TopBottom,
Gen2_Tip_NC,H2912,MountingHole_4.3mm_M4_Pad_TopBottom,
Gen1_Ring,H2906,MountingHole_4.3mm_M4_Pad_TopBottom,
Out2,H2908,MountingHole_4.3mm_M4_Pad_TopBottom,
