Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1305,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,307.903,-85.757,-90.0,top
R1306,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,323.397,-84.0825,90.0,top
R1307,200K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,307.903,-96.171,90.0,top
R1308,200K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,332.541,-103.029,90.0,top
R1309,68K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,307.903,-92.361,90.0,top
R1310,68K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,331.4215,-99.473,180.0,top
R1311,2K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,304.855,-84.487,-90.0,top
R1312,2K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,319.587,-96.171,90.0,top
R1313,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,290.631,-99.219,-90.0,top
R1314,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,341.939,-99.0655,-90.0,top
R1402,15K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,309.427,-105.315,-90.0,top
R1403,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,303.331,-109.887,-90.0,top
R1404,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,309.427,-109.633,-90.0,top
R1405,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,306.379,-113.697,90.0,top
